,Symbol,Industry
269,GUJGASLTD,Oil Gas & Consumable Fuels
270,GMDCLTD,Metals & Mining
271,GNFC,Chemicals
272,GPPL,Services
273,GSFC,Chemicals
274,GSPL,Oil Gas & Consumable Fuels
275,GULFOILLUB,Oil Gas & Consumable Fuels
276,HEG,Capital Goods
277,HGINFRA,Construction
278,HBLENGINE,Automobile and Auto Components
279,HCLTECH,Information Technology
280,HDFCAMC,Financial Services
281,HDFCBANK,Financial Services
282,HDFCLIFE,Financial Services
283,HFCL,Telecommunication
284,HAPPSTMNDS,Information Technology
285,HAPPYFORGE,Capital Goods
286,HARSHA,Capital Goods
287,HATHWAY,Media Entertainment & Publication
288,HAVELLS,Consumer Durables
289,HCG,Healthcare
290,HEIDELBERG,Construction Materials
291,HEMIPROP,Services
292,HERITGFOOD,Fast Moving Consumer Goods
293,HEROMOTOCO,Automobile and Auto Components
294,HIKAL,Healthcare
295,HSCL,Chemicals
296,HINDALCO,Metals & Mining
297,HAL,Capital Goods
298,HCC,Construction
299,HINDCOPPER,Metals & Mining
300,HNDFDS,Fast Moving Consumer Goods
301,HINDOILEXP,Oil Gas & Consumable Fuels
302,HINDPETRO,Oil Gas & Consumable Fuels
303,HINDUNILVR,Fast Moving Consumer Goods
304,HINDZINC,Metals & Mining
305,HINDWAREAP,Consumer Durables
306,POWERINDIA,Capital Goods
307,HOMEFIRST,Financial Services
308,HONASA,Fast Moving Consumer Goods
309,HONAUT,Capital Goods
310,HUDCO,Financial Services
311,ICICIBANK,Financial Services
312,ICICIGI,Financial Services
313,ICICIPRULI,Financial Services
314,IDBI,Financial Services
315,IDFCFIRSTB,Financial Services
316,IFBIND,Consumer Durables
317,IFCI,Financial Services
318,IIFLCAPS,Financial Services
319,IIFL,Financial Services
320,INOXINDIA,Capital Goods
321,IRB,Construction
322,IRCON,Construction
323,ITC,Fast Moving Consumer Goods
324,ITDCEM,Construction
325,ITI,Telecommunication
326,IDEAFORGE,Capital Goods
327,IMAGICAA,Consumer Services
328,INDGN,Healthcare
329,INDIACEM,Construction Materials
330,INDIAGLYCO,Chemicals
331,IPL,Chemicals
332,INDIASHLTR,Financial Services
333,INDIAMART,Consumer Services
334,INDIANB,Financial Services
335,IEX,Financial Services
336,INDHOTEL,Consumer Services
337,IMFA,Metals & Mining
338,IOC,Oil Gas & Consumable Fuels
339,IOB,Financial Services
340,IRCTC,Consumer Services
341,IRFC,Financial Services
342,IREDA,Financial Services
343,INDIGOPNTS,Consumer Durables
344,ICIL,Textiles
345,IGL,Oil Gas & Consumable Fuels
346,INDUSTOWER,Telecommunication
347,INDUSINDBK,Financial Services
348,INFIBEAM,Financial Services
349,NAUKRI,Consumer Services
350,INFY,Information Technology
351,INGERRAND,Capital Goods
352,INNOVACAP,Healthcare
353,INOXGREEN,Utilities
354,INOXWIND,Capital Goods
355,INTELLECT,Information Technology
356,INDIGO,Services
357,IONEXCHANG,Utilities
358,IPCALAB,Healthcare
359,ISGEC,Construction
360,JBCHEPHARM,Healthcare
361,JKCEMENT,Construction Materials
362,JKIL,Construction
363,JBMA,Automobile and Auto Components
364,JKLAKSHMI,Construction Materials
365,JKPAPER,Forest Materials
366,JKTYRE,Automobile and Auto Components
367,JMFINANCIL,Financial Services
368,JSWENERGY,Power
369,JSWINFRA,Services
370,JSWSTEEL,Metals & Mining
371,JTEKTINDIA,Automobile and Auto Components
372,JTLIND,Capital Goods
373,JAIBALAJI,Metals & Mining
374,JAICORPLTD,Capital Goods
375,JISLJALEQS,Capital Goods
376,JPPOWER,Power
377,J&KBANK,Financial Services
378,JAMNAAUTO,Automobile and Auto Components
379,JSFB,Financial Services
380,JINDALSAW,Capital Goods
381,JSL,Metals & Mining
382,JINDALSTEL,Metals & Mining
383,JINDWORLD,Textiles
384,JIOFIN,Financial Services
385,JCHAC,Consumer Durables
386,JUBLFOOD,Consumer Services
387,JUBLINGREA,Chemicals
388,JUBLPHARMA,Healthcare
389,JUNIPER,Consumer Services
390,JLHL,Healthcare
391,JWL,Capital Goods
392,JUSTDIAL,Consumer Services
393,JYOTHYLAB,Fast Moving Consumer Goods
394,JYOTICNC,Capital Goods
395,KPRMILL,Textiles
396,KEI,Capital Goods
397,KNRCON,Construction
398,KPITTECH,Information Technology
399,KRBL,Fast Moving Consumer Goods
400,KSB,Capital Goods
401,KAJARIACER,Consumer Durables
402,KPIL,Construction
403,KALYANKJIL,Consumer Durables
404,KSL,Capital Goods
405,KANSAINER,Consumer Durables
406,KTKBANK,Financial Services
407,KARURVYSYA,Financial Services
408,KSCL,Fast Moving Consumer Goods
409,KAYNES,Capital Goods
410,KEC,Construction
411,KFINTECH,Financial Services
412,KIRLOSBROS,Capital Goods
413,KIRLOSENG,Capital Goods
414,KIRLPNU,Capital Goods
415,KOLTEPATIL,Realty
416,KOTAKBANK,Financial Services
417,KIMS,Healthcare
418,LTF,Financial Services
419,LTTS,Information Technology
420,LICHSGFIN,Financial Services
